Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
The Lovecats,Greatest Hits,The Cure,2001-11-13,44,"new wave,permanent wave,rock,uk post-punk",0.748,0.569,9,0.0752,0.459,1.21e-06,0.364,91.833,106
93 'Til Infinity,93 'til Infinity,Souls Of Mischief,1993-02-13,67,"alternative hip hop,hardcore hip hop,hip hop,jazz rap",0.59,0.672,1,0.412,0.125,1.04e-06,0.147,206.247,107
One Step Ahead,A Bit Of Soul,Aretha Franklin,1996-01-01,48,"classic soul,jazz blues,memphis soul,soul,southern soul,vocal jazz",0.384,0.206,0,0.0319,0.826,0.0,0.553,170.172,108
Head in the Ceiling Fan,Floral Green,Title Fight,2012-09-18,60,"dreamo,emo,grungegaze,spacegrunge,zoomergaze",0.276,0.456,4,0.0427,0.0679,0.306,0.133,120.876,109
True Blue,the record,"boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",2023-03-31,62,"indie pop,pov: indie,ambient folk,la indie,art pop",0.472,0.774,7,0.0405,0.259,0.0051,0.175,146.175,110
Polyurethane,Hannah,Lomelda,2020-09-04,50,"countrygaze,small room",0.526,0.0819,4,0.032,0.93,0.585,0.358,129.024,111
#skeptacore pt.3,#skeptacore pt.3,"Ryder,Skepta",2023-11-08,62,"birmingham grime,grime,instrumental grime,uk hip hop",0.775,0.667,9,0.357,0.571,0.0,0.115,135.015,112
A Song For You,Leon Russell,Leon Russell,1970,4,"blues rock,country rock,folk,folk rock,mellow gold,outlaw country,piano rock,roots rock,singer-songwriter,southern rock,swamp rock",0.48,0.0871,5,0.0442,0.973,2.67e-06,0.148,118.036,113
Me And Those Dreamin' Eyes Of Mine,Brown Sugar,D'Angelo,1995-07-03,44,"indie soul,neo soul,soul",0.512,0.401,4,0.217,0.7,0.000143,0.11,83.339,114
The Place Where He Inserted the Blade,Ants From Up There,"Black Country, New Road",2022-02-04,56,"crank wave,indie rock,london indie,uk post-punk revival",0.376,0.451,11,0.0327,0.402,4.13e-05,0.128,123.344,115
Blue Monday,Singles,New Order,2005-09-30,58,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.793,0.703,0,0.0581,0.000726,0.88,0.075,130.27,116
I Don't Smoke,Bury Me At Makeout Creek,Mitski,2014-11-11,66,"brooklyn indie,pov: indie",0.133,0.54,1,0.0339,2.56e-05,0.00805,0.114,143.951,117
New Tank,Whole Lotta Red,Playboi Carti,2020-12-25,71,"atl hip hop,plugg,pluggnb,rage rap,rap",0.819,0.638,10,0.226,0.031,0.000116,0.152,150.993,118
Digital Love,Discovery,Daft Punk,2001-03-12,66,"electro,filter house,rock",0.644,0.664,9,0.0332,0.048,0.867,0.342,124.726,119
